traditional,simplified,pinyin_numbered,cvdict_meaning,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,hanzii_status
E仔,E仔,E zai3,MDMA (C11H15NO2),,,,[],[],not_crawled
G友,G友,G you3,xem 基友[ji1 you3],,,,[],[],not_crawled
G弦褲,G弦裤,G xian2 ku4,quần lọt khe,,,,[],[],not_crawled
G點,G点,G dian3,điểm G,,,,[],[],not_crawled
H橋,H桥,H qiao2,mạch cầu H (điện tử),,,,[],[],not_crawled
IP,IP,I P,"sở hữu trí tuệ (ở Trung Quốc, đặc biệt từ 2015, thường dùng trong ngành công nghiệp giải trí cho tác phẩm sáng tạo được sử dụng làm cơ sở cho sản phẩm mới, như manga được chuyển thể thành phim truyền hình, hoặc hình ảnh nhân vật hoạt hình xuất hiện trên hàng hóa)",,,,[],[],not_crawled
IP劇,IP剧,I P ju4,"chuyển thể màn ảnh (phim truyền hình hoặc điện ảnh dựa trên tiểu thuyết trực tuyến hoặc trò chơi điện tử, v.v.)",,,,[],[],not_crawled
JK制服,JK制服,J K zhi4 fu2,đồng phục nữ sinh trung học (Nhật Bản),,,,[],[],not_crawled
K人,K人,K ren2,(tiếng lóng) đánh ai đó; đánh đập ai đó,,,,[],[],not_crawled
K仔,K仔,K zai3,ketamine (tiếng lóng),,,,[],[],not_crawled
K他命,K他命,k ta1 ming4,ketamine (C13H16ClNO) (tiếng lóng),,,,[],[],not_crawled
K房,K房,K fang2,(tiếng lóng) KTV; phòng KTV,,,,[],[],not_crawled
K書,K书,K shu1,"(Đài Loan) học nhồi nhét; học tập (từ tiếng Đài Loan 齧書, phát âm Tai-lo [khè su], nghĩa đen: gặm sách); xem cũng 啃書|啃书[ken3 shu1]",,,,[],[],not_crawled
K歌,K歌,K ge1,karaoke (tiếng lóng),,,,[],[],not_crawled
K粉,K粉,K fen3,ketamine (tiếng lóng),,,,[],[],not_crawled
K線,K线,K xian4,nến (trong biểu đồ nến),,,,[],[],not_crawled
K線圖,K线图,K xian4 tu2,biểu đồ nến,,,,[],[],not_crawled
K金,K金,K jin1,xem 開金|开金[kai1 jin1],,,,[],[],not_crawled
L照,L照,L zhao4,ảnh nude (từ 裸照[luo3 zhao4]),,,,[],[],not_crawled
MC,MC,M C,"(Đài Loan) (thông tục) kinh nguyệt (từ ""chu kỳ kinh nguyệt"")",,,,[],[],not_crawled
MV,MV,M V,"giá trị hẹn hò (viết tắt của ""giá trị bạn đời""); video âm nhạc",,,,[],[],not_crawled
M巾,M巾,M jin1,(thông tục) băng vệ sinh,,,,[],[],not_crawled
NG,NG,N G,"(từ mượn tiếng Nhật ""NG"", viết tắt của ""no good"") (phim và truyền hình) lỗi diễn xuất; đóng phim lỗi",,,,[],[],not_crawled
NG片段,NG片段,N G pian4 duan4,(phim và truyền hình) lỗi diễn xuất,,,,[],[],not_crawled
NG鏡頭,NG镜头,N G jing4 tou2,(phim và truyền hình) lỗi diễn xuất,,,,[],[],not_crawled
N久,N久,N jiu3,"một thời gian rất lâu (nguyên do: trong toán học, n đại diện cho một số lượng lớn tùy ý)",,,,[],[],not_crawled
N擋,N挡,N dang3,số mo (hộp số),,,,[],[],not_crawled
OK繃,OK绷,O K beng1,băng cá nhân (Đài Loan),,,,[],[],not_crawled
OK鏡,OK镜,O K jing4,"kính OK, kính áp tròng chỉnh hình giác mạc giúp định hình lại giác mạc để loại bỏ cận thị",,,,[],[],not_crawled
OS,OS,O S,"(trong phim truyền hình hoặc điện ảnh) lồng tiếng suy nghĩ, làm cho suy nghĩ không nói ra của nhân vật trở nên nghe được cho khán giả",,,,[],[],not_crawled
O型腿,O型腿,O xing2 tui3,chân vòng kiềng; tật chân vòng kiềng,,,,[],[],not_crawled
P,P,P,(tiếng lóng) người đồng tính nữ nữ tính (khuôn mẫu); photoshop,,,,[],[],not_crawled
PA,PA,P A,nhân viên khu vực công cộng (phụ trách dọn dẹp các khu vực công cộng của khách sạn); trợ lý marketing; trợ lý kinh doanh,,,,[],[],not_crawled
PA部,PA部,P A bu4,bộ phận nhân viên khách sạn phụ trách giữ sạch sẽ các khu vực công cộng của khách sạn,,,,[],[],not_crawled
PK,PK,P K,(tiếng lóng) đối đầu; thách thức; đọ sức; trận quyết đấu; so sánh,,,,[],[],not_crawled
PO,PO,po1,(Đài Loan) (thông tục) đăng (trực tuyến); cũng đọc là [pou1],,,,[],[],not_crawled
PO文,PO文,po1 wen2,(thông tục) đăng bài,,,,[],[],not_crawled
PU,PU,P U,"mức độ nghi ngờ rằng một người phụ nữ có thể, sau khi kết hôn, không chung thủy với chồng (viết tắt của ""nghi ngờ quan hệ huyết thống"")",,,,[],[],not_crawled
PUA,PUA,P U A,"(từ mới khoảng năm 2019) kiểm soát (ai đó) bằng thao túng tâm lý (ví dụ: chê bai); người làm điều đó (từ mượn từ ""pickup artist""); đọc là [pi1 wu1 ei1]",,,,[],[],not_crawled
P圖,P图,P tu2,(tiếng lóng Internet) chỉnh sửa ảnh bằng Photoshop; ảnh đã chỉnh sửa Photoshop,,,,[],[],not_crawled
P擋,P挡,P dang3,số đỗ (xe); chế độ lập trình (trên máy ảnh kỹ thuật số),,,,[],[],not_crawled
P民,P民,P min2,(tiếng lóng) dân đen; người bình dân; đám đông,,,,[],[],not_crawled
Q,Q,Q,"dễ thương (từ mượn); (về đồ ăn) có độ dai vui miệng (như mochi, trân châu, khoai môn dẻo v.v. – những món có cảm giác đàn hồi hoặc giòn như thạch); (từ mượn) ra hiệu cho ai đó",,,,[],[],not_crawled
QR扣,QR扣,Q R kou4,(Đài Loan) (từ mượn) mã QR,,,,[],[],not_crawled
Q勁,Q劲,Q jin4,cảm giác dai giòn,,,,[],[],not_crawled
Q彈,Q弹,Q tan2,(về cảm giác món ăn) dai giòn; chắc,,,,[],[],not_crawled
T,T,T,(tiếng lóng) cô gái có vẻ ngoài nam tính (hình mẫu đồng tính nữ),,,,[],[],not_crawled
TA,TA,ta1,anh ấy hoặc cô ấy,,,,[],[],not_crawled
TF卡,TF卡,T F ka3,thẻ nhớ microSD,,,,[],[],not_crawled
Tony,Tony,t o n y,(tiếng lóng) thợ làm tóc,,,,[],[],not_crawled
Tony老師,Tony老师,t o n y lao3 shi1,(tiếng lóng) thợ làm tóc,,,,[],[],not_crawled
T台,T台,T tai2,sàn diễn (trong buổi trình diễn thời trang v.v.); sàn catwalk,,,,[],[],not_crawled
T型台,T型台,T xing2 tai2,sàn diễn (trong buổi trình diễn thời trang v.v.); sàn catwalk,,,,[],[],not_crawled
T字帳,T字帐,T zi4 zhang4,tài khoản chữ T (kế toán),,,,[],[],not_crawled
T字褲,T字裤,T zi4 ku4,quần lọt khe (nội y),,,,[],[],not_crawled
T恤,T恤,T xu4,áo thun,,,,[],[],not_crawled
T裇,T裇,T xu1,áo thun,,,,[],[],not_crawled
UP主,UP主,U P zhu3,"(tiếng lóng Internet) người đăng tải (người đăng video hoặc nội dung khác lên Internet); đọc là [a4 pu5 zhu3]; (từ mượn từ tiếng Nhật うｐ主, ""upunushi"")",,,,[],[],not_crawled
USB手指,USB手指,U S B shou3 zhi3,ổ flash USB,,,,[],[],not_crawled
USB記憶棒,USB记忆棒,U S B ji4 yi4 bang4,ổ flash USB,,,,[],[],not_crawled
U凸內褲,U凸内裤,U tu1 nei4 ku4,quần lót nam có túi nâng,,,,[],[],not_crawled
U型枕,U型枕,U xing2 zhen3,gối kê cổ du lịch,,,,[],[],not_crawled
U型池,U型池,U xing2 chi2,(thể thao) đường trượt dạng chữ U; đường trượt half-pipe,,,,[],[],not_crawled
U形轉彎,U形转弯,U xing2 zhuan3 wan1,quay đầu chữ U,,,,[],[],not_crawled
U盤,U盘,U pan2,ổ đĩa flash USB,,,,[],[],not_crawled
U盾,U盾,U dun4,khóa USB dùng làm mã bảo mật trong ngân hàng trực tuyến Trung Quốc,,,,[],[],not_crawled
VCR,VCR,V C R,"đoạn video (từ mượn của ""máy ghi hình videocassette"")",,,,[],[],not_crawled
V溝,V沟,V gou1,đường viền cổ áo thấp lộ khe ngực; cổ áo trễ; mương,,,,[],[],not_crawled
XO醬,XO酱,X O jiang4,"nước sốt XO, một loại sốt hải sản cay được tạo ra ở Hong Kong vào những năm 1980",,,,[],[],not_crawled
X光,X光,X guang1,tia X,,,,[],[],not_crawled
cos,cos,c o s,(tiếng lóng Internet) cosplay; hóa trang thành; mặc trang phục của,,,,[],[],not_crawled
coser,coser,coser,người cosplay,,,,[],[],not_crawled
ins,ins,i n s,Instagram,,,,[],[],not_crawled
mua,mua,m u a,(tượng thanh) moa (âm thanh của nụ hôn),,,,[],[],not_crawled
w,w,w,(tiếng lóng Internet) mười nghìn (viết tắt của 萬|万[wan4]),,,,[],[],not_crawled
word,word,w o r d,của tôi (biến thể tiếng lóng Internet của 我的[wo3 de5]),,,,[],[],not_crawled
word姐,word姐,w o r d jie3,chị tôi (phiên bản tiếng lóng Internet của 我的姐[wo3 de5 jie3]),,,,[],[],not_crawled
π日,π日,Pai4 ri4,"Ngày Pi Thế giới, kỷ niệm hằng số toán học π vào ngày 14 tháng 3 mỗi năm",,,,[],[],not_crawled
□,□,biang4,"(Đài Loan) (thông tục) ngầu; tuyệt vời; (về từ nguyên, là dạng rút gọn của 不一樣|不一样[bu4 yi1 yang4]); thường được viết là ㄅㄧㄤˋ",,,,[],[],not_crawled
□,□,biu1,(tượng thanh) pằng! (âm thanh đạn bắn từ súng); cũng đọc là [biu4],,,,[],[],not_crawled
□,□,ging1,"căng thẳng; bướng bỉnh; miễn cưỡng ép bản thân làm gì đó (từ tiếng Đài Loan, phát âm Tai-lo [king], thường được viết là ㄍㄧㄥ, không có dạng chữ Hán được chấp nhận chung)",,,,[],[],not_crawled
○,○,ling2,"ký tự dùng ở Đài Loan thay cho tên thật (giống như ""X"" trong tiếng Anh); biến thể của 〇[ling2]",,,,[],[],not_crawled
⺮,⺮,zhu2,"bộ ""trúc"" trong chữ Hán (bộ Khang Hy số 118)",,,,[],[],not_crawled
⻏,⻏,yi4,"thành phố; làng; cũng như 邑[yi4]; bộ Khang Hy số 163, nằm phía bên phải của ký tự",,,,[],[],not_crawled
々,々,xx5,dấu lặp (dùng để biểu thị ký tự lặp lại),,,,[],[],not_crawled
〇,〇,ling2,số không,,,,[],[],not_crawled
〡,〡,yi1,chữ số 1 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〢,〢,er4,chữ số 2 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〣,〣,san1,chữ số 3 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〤,〤,si4,chữ số 4 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〥,〥,wu3,chữ số 5 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〦,〦,liu4,chữ số 6 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〧,〧,qi1,chữ số 7 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〨,〨,ba1,chữ số 8 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〩,〩,jiu3,chữ số 9 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〸,〸,shi2,chữ số 10 trong hệ thống số Tô Châu 蘇州碼子|苏州码子[Su1 zhou1 ma3 zi5],,,,[],[],not_crawled
〻,〻,xx5,dấu lặp (dùng để biểu thị ký tự lặp lại),,,,[],[],not_crawled
ㄅㄧㄤˋ,ㄅㄧㄤˋ,xx5 xx5 xx5 xx5,"(Đài Loan) (thông tục) ngầu; tuyệt; phát âm [biang4]; (về từ nguyên, dạng rút gọn của 不一樣|不一样[bu4 yi1 yang4])",,,,[],[],not_crawled
㍻,㍻,xx5,平成[Ping2 cheng2] viết thành một ký tự,,,,[],[],not_crawled
㍼,㍼,xx5,昭和[Zhao1 he2] viết thành một ký tự,,,,[],[],not_crawled
㍽,㍽,xx5,大正[Da4 zheng4] viết thành một ký tự,,,,[],[],not_crawled
㍾,㍾,xx5,明治[Ming2 zhi4] viết thành một ký tự,,,,[],[],not_crawled
㐄,㐄,kua4,"thành phần trong chữ Hán, hình ảnh phản chiếu của 夂[zhi3]",,,,[],[],not_crawled
㐅,㐅,wu3,biến thể cổ của 五[wu3],,,,[],[],not_crawled
㐆,㐆,yin3,thành phần trong chữ Hán 殷[yin1],,,,[],[],not_crawled
㐌,㐌,ta1,biến thể của 它[ta1],,,,[],[],not_crawled
㐖,㐖,xie2,dùng trong 㐖毒[Xie2 du2],,,,[],[],not_crawled
㐖毒,㐖毒,Xie2 du2,Ấn Độ (cổ đại),,,,[],[],not_crawled
㐜,㐜,chou2,biến thể của 仇[chou2],,,,[],[],not_crawled
㐡,㐡,nuo4,biến thể cổ của 懦[nuo4],,,,[],[],not_crawled
㐤,㐤,qiu2,biến thể cổ của 求[qiu2],,,,[],[],not_crawled
㐫,㐫,xiong1,biến thể cũ của 凶[xiong1],,,,[],[],not_crawled
㐰,㐰,xin4,biến thể cũ của 信[xin4],,,,[],[],not_crawled
㐺,㐺,zhong4,biến thể cũ của 眾|众[zhong4],,,,[],[],not_crawled
㑊,㑊,yi4,dùng trong 解㑊[xie4 yi4],,,,[],[],not_crawled
㑳,㑇,zhou4,(cũ) đẹp; thông minh,,,,[],[],not_crawled
㑺,俊,jun4,biến thể cũ của 俊[jun4],,,,[],[],not_crawled
㒳,㒳,liang3,biến thể cũ của 兩|两[liang3],,,,[],[],not_crawled
㒸,㒸,sui4,biến thể cổ của 遂[sui4],,,,[],[],not_crawled
㒺,罔,wang3,biến thể cũ của 罔[wang3],,,,[],[],not_crawled
㓂,寇,kou4,biến thể cũ của 寇[kou4],,,,[],[],not_crawled
㔾,㔾,jie2,"bộ ""tiết"" trong chữ Hán (bộ Khang Hy số 26)",,,,[],[],not_crawled
㕁,却,que4,biến thể cũ của 卻|却[que4],,,,[],[],not_crawled
㕑,厨,chu2,biến thể cũ của 廚|厨[chu2],,,,[],[],not_crawled
㕘,参,can1,biến thể của 參|参[can1],,,,[],[],not_crawled
㕥,㕥,shen1,biến thể cũ của 呻[shen1],,,,[],[],not_crawled
㕥,以,yi3,biến thể cũ của 以[yi3],,,,[],[],not_crawled
㕯,㕯,ne4,biến thể cũ của 訥|讷[ne4],,,,[],[],not_crawled
㕻,㕻,pou3,biến thể của 咅[pou3]; cũng đọc là [tou4],,,,[],[],not_crawled
㗂,㗂,sheng3,biến thể của 省[sheng3]; kiệm lời; kiểm tra; theo dõi; lục soát (đặc biệt trong tiếng Quảng Đông),,,,[],[],not_crawled
㘚,㘎,han3,(văn học) (về hổ) gầm; rống,,,,[],[],not_crawled
㘭,坳,ao4,biến thể của 坳[ao4],,,,[],[],not_crawled
㘵,㘵,bu4,(dùng trong tên địa danh),,,,[],[],not_crawled
㙍,㙍,duo1,(dùng trong tên địa danh),,,,[],[],not_crawled
㙦,㙦,xie2,(dùng trong tên địa danh),,,,[],[],not_crawled
㚻,㚻,ji1,dùng trong 㚻姦|㚻奸[ji1 jian1],,,,[],[],not_crawled
㚻姦,㚻奸,ji1 jian1,biến thể của 雞奸|鸡奸[ji1 jian1],,,,[],[],not_crawled
㛂,㛂,nuo3,duyên dáng; mảnh mai và nhỏ nhắn,,,,[],[],not_crawled
㛃,㛃,jie2,biến thể của 潔|洁[jie2] (chủ yếu dùng trong tên riêng),,,,[],[],not_crawled
㝄,㝄,chun2,biến thể cũ của 純|纯[chun2],,,,[],[],not_crawled
㝇,㝇,chun2,biến thể cũ của 鶉|鹑[chun2],,,,[],[],not_crawled
㝛,宿,su4,biến thể cũ của 宿[su4],,,,[],[],not_crawled
㝠,冥,ming2,biến thể cũ của 冥[ming2],,,,[],[],not_crawled
㝡,最,zui4,biến thể của 最[zui4],,,,[],[],not_crawled
㝵,㝵,ai4,biến thể của 礙|碍[ai4],,,,[],[],not_crawled
㝵,㝵,de2,để đạt được (biến thể cũ của 得[de2]),,,,[],[],not_crawled
㞎,㞎,ba3,(tiếng địa phương) ị; (tiếng địa phương) đi ị,,,,[],[],not_crawled
㞎㞎,㞎㞎,ba3 ba5,(ngôn ngữ trẻ em) phân,,,,[],[],not_crawled
㞗,㞗,qiu2,(tiếng địa phương) dương vật; cu,,,,[],[],not_crawled
㞙,㞙,niao4,biến thể cũ của 尿[niao4],,,,[],[],not_crawled
㞞,𪨊,song2,(khẩu ngữ) tinh dịch; (khẩu ngữ) yếu và bất tài,,,,[],[],not_crawled
㟁,岸,an4,biến thể của 岸[an4],,,,[],[],not_crawled
㟃,㟃,si1,(dùng trong tên địa danh),,,,[],[],not_crawled
㠀,岛,dao3,biến thể của 島|岛[dao3],,,,[],[],not_crawled
㠇,㠇,jiu4,(tên của một dãy núi),,,,[],[],not_crawled
㠯,以,yi3,biến thể cũ của 以[yi3],,,,[],[],not_crawled
㠶,帆,fan1,biến thể của 帆[fan1],,,,[],[],not_crawled
㡌,帽,mao4,biến thể cũ của 帽[mao4],,,,[],[],not_crawled
㢘,廉,lian2,biến thể cũ của 廉[lian2],,,,[],[],not_crawled
㢠,迥,jiong3,biến thể của 迥[jiong3],,,,[],[],not_crawled
㢲,㢲,xun4,biến thể của 巽[xun4],,,,[],[],not_crawled
㢴,㢴,xi1,biến thể cũ của 西[xi1],,,,[],[],not_crawled
㣟,㣟,xi4,đi; dạo,,,,[],[],not_crawled
㤅,㤅,ai4,biến thể cổ của 愛|爱[ai4],,,,[],[],not_crawled
㤙,恩,en1,biến thể của 恩[en1],,,,[],[],not_crawled
㥁,㥁,de2,biến thể của 德[de2],,,,[],[],not_crawled
㥏,㥏,tian3,xấu hổ,,,,[],[],not_crawled
㥦,惬,qie4,biến thể của 愜|惬[qie4],,,,[],[],not_crawled
㥮,㤘,zhou4,(phương ngữ) cứng đầu,,,,[],[],not_crawled
㥯,㥯,yin3,cẩn thận,,,,[],[],not_crawled
㦂,㦂,chang2,biến thể cũ của 常[chang2],,,,[],[],not_crawled
㧯,㧯,lao3,giỏ đan tròn đáy; (phương ngữ) nhấc; khiêng trên vai,,,,[],[],not_crawled
㧱,拿,na2,biến thể cũ của 拿[na2],,,,[],[],not_crawled
㨃,㨃,dui3,biến thể của 懟|怼[dui3],,,,[],[],not_crawled
㨗,捷,jie2,biến thể của 捷[jie2]; nhanh; nhanh nhẹn,,,,[],[],not_crawled
㨪,晃,huang3,biến thể của 晃[huang3],,,,[],[],not_crawled
㨿,据,ju4,biến thể của 據|据[ju4],,,,[],[],not_crawled
㩐,㩐,den4,biến thể của 扽[den4],,,,[],[],not_crawled
㩗,携,xie2,biến thể cũ của 攜|携[xie2],,,,[],[],not_crawled
㩜,㨫,lan3,biến thể của 擥[lan3],,,,[],[],not_crawled
㩦,携,xie2,biến thể cũ của 攜|携[xie2],,,,[],[],not_crawled
㩳,㧐,song3,(văn học) đứng thẳng; (phương ngữ) đẩy; xô,,,,[],[],not_crawled
㪃,㪃,he2,đánh; đập,,,,[],[],not_crawled
㪋,㪋,han4,biến thể của 捍[han4],,,,[],[],not_crawled
㪚,散,san4,biến thể của 散[san4],,,,[],[],not_crawled
㪟,敦,dun1,biến thể của 敦[dun1],,,,[],[],not_crawled
㫰,㫰,lang4,(phương ngữ) phơi (gì đó) ngoài nắng; phơi (gì đó) ngoài không khí,,,,[],[],not_crawled
㫺,㫺,xi1,biến thể cũ của 昔[xi1],,,,[],[],not_crawled
㬉,暖,nuan3,biến thể cũ của 暖[nuan3],,,,[],[],not_crawled
㬎,㬎,xian3,biến thể cũ của 顯|显[xian3],,,,[],[],not_crawled
㮎,㮎,bei1,biến thể của 杯[bei1],,,,[],[],not_crawled
㮚,㮚,li4,biến thể cũ của 栗[li4],,,,[],[],not_crawled
㮸,㮸,song4,biến thể của 送[song4],,,,[],[],not_crawled
㯭,橹,lu3,biến thể của 櫓|橹[lu3],,,,[],[],not_crawled
㯳,㯳,qing2,biến thể của 檠[qing2],,,,[],[],not_crawled
㱃,饮,yin3,biến thể cũ của 飲|饮[yin3],,,,[],[],not_crawled
㱾,㱾,gai1,một loại đồ trang sức bằng kim loại hoặc ngọc thời xưa đeo để xua đuổi tà ma,,,,[],[],not_crawled
㲈,㲈,shao2,biến thể của 韶[shao2],,,,[],[],not_crawled
㲈,㲈,tao2,biến thể của 鞀|鼗[tao2],,,,[],[],not_crawled
㲋,㲋,chuo4,tên cổ cho một loài động vật giống thỏ nhưng to hơn,,,,[],[],not_crawled
㲱,㲱,lie4,biến thể cũ của 鬣[lie4],,,,[],[],not_crawled
㲾,㲾,yu3,biến thể cũ của 雨[yu3],,,,[],[],not_crawled
㳂,㳂,yan2,biến thể của 沿[yan2],,,,[],[],not_crawled
㳄,涎,xian2,biến thể của 涎[xian2],,,,[],[],not_crawled
㳇,㳇,fu4,(dùng trong địa danh),,,,[],[],not_crawled
㳒,法,fa3,biến thể của 法[fa3],,,,[],[],not_crawled
㳘,㳘,chong1,(văn học) (dòng suối núi) chảy xuống; (tượng thanh) tiếng nước chảy,,,,[],[],not_crawled
㳮,㳮,niao4,biến thể cũ của 尿[niao4],,,,[],[],not_crawled
㴱,深,shen1,biến thể cũ của 深[shen1],,,,[],[],not_crawled
㵎,涧,jian4,biến thể của 澗|涧[jian4],,,,[],[],not_crawled
㵐,㵐,Jue2,sông Jue ở Hồ Bắc,,,,[],[],not_crawled
㵐水,㵐水,Jue2 Shui3,sông Jue ở Hồ Bắc,,,,[],[],not_crawled
㵪,㵪,xian2,biến thể của 涎[xian2],,,,[],[],not_crawled
㵮,㵮,chun2,nước trong,,,,[],[],not_crawled
㶸,㶸,xie2,"(nghĩa chính xác chưa rõ, liên quan đến sắt); biến thể của 協|协[xie2]",,,,[],[],not_crawled
㷖,㷖,zhao4,biến thể cũ của 照[zhao4],,,,[],[],not_crawled
㷭,㷭,feng1,biến thể cũ của 烽[feng1],,,,[],[],not_crawled
㷸,烨,ye4,biến thể của 燁|烨[ye4],,,,[],[],not_crawled
㸌,㸌,huo4,lấp lánh; ánh lên,,,,[],[],not_crawled
㹠,㹠,tun2,biến thể cũ của 豚[tun2],,,,[],[],not_crawled
㹢,㹢,jia1,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]",,,,[],[],not_crawled
㹴,㹴,geng1,chó sục; cũng đọc là [geng3],,,,[],[],not_crawled
㹴犬,㹴犬,geng1 quan3,chó sục,,,,[],[],not_crawled
㺢,㺢,huo4,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]",,,,[],[],not_crawled
㺢㹢狓,㺢㹢狓,huo4 jia1 pi2,biến thể của 霍加狓[huo4jia1pi2],,,,[],[],not_crawled
㺵,㺵,jiu3,ngọc đen (biến thể của 玖[jiu3]),,,,[],[],not_crawled
㻬,㻬,tu2,một loại ngọc,,,,[],[],not_crawled
㻽,㻽,xuan2,biến thể của 璿|璇[xuan2]; cũng đọc là [sui4],,,,[],[],not_crawled
